City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,jamestown,42.097,-79.2353,23.59,64,75,3.09,US,1690041078
181,belmonte,-15.8631,-38.8828,23.35,86,65,4.6,BR,1690041078
182,lihue,21.9789,-159.3672,25.77,87,100,5.14,US,1690041078
183,cabo san lucas,22.8909,-109.9124,34.23,58,0,0.0,MX,1690040568
184,valdivia,-39.8142,-73.2459,7.05,90,97,1.65,CL,1690041078
185,san luis de la loma,17.2706,-100.8939,30.83,59,99,1.99,MX,1690041079
186,caleta de carquin,-11.0925,-77.6267,21.24,72,31,4.05,PE,1690041079
187,anadyr,64.75,177.4833,13.28,87,40,3.0,RU,1690041079
188,uturoa,-16.7333,-151.4333,24.11,75,100,6.73,PF,1690041079
189,kerema,-7.9631,145.7785,24.58,90,91,3.44,PG,1690041079
190,grand-bassam,5.2118,-3.7388,24.98,75,89,4.71,CI,1690041080
191,karratha,-20.7377,116.8463,18.55,21,1,8.19,AU,1690041080
192,ambon,-3.6954,128.1814,26.04,16,40,2.06,ID,1690041080
193,neiafu,-18.65,-173.9833,18.38,100,20,2.06,TO,1690041080
194,wagar,16.1525,36.2032,37.71,28,71,4.96,SD,1690041081
195,mar del plata,-38.0023,-57.5575,12.19,93,75,4.47,AR,1690041081
196,nar'yan-mar,67.6713,53.087,14.77,91,93,6.14,RU,1690041081
197,yelizovo,53.1873,158.3805,14.08,100,0,3.13,RU,1690041081
198,heroica zitacuaro,19.4,-100.3667,19.08,76,99,1.04,MX,1690041081
199,maputo,-25.9653,32.5892,22.82,53,20,5.36,MZ,1690041063
200,tindouf,27.6711,-8.1474,46.25,5,1,4.12,DZ,1690041082
201,haiku-pauwela,20.9219,-156.3051,24.47,84,0,5.14,US,1690041082
202,al ghayzah,16.2079,52.176,28.66,69,93,0.93,YE,1690041082
203,colchani,-20.3,-66.9333,9.92,21,0,3.33,BO,1690041082
204,kangding,30.0513,101.9603,15.26,92,43,1.07,CN,1690041082
205,tolanaro,-25.0319,46.9987,21.04,83,40,6.17,MG,1690041083
206,malanje,-9.5402,16.341,31.14,17,28,3.48,AO,1690041083
207,kill devil hills,36.0307,-75.676,30.0,73,0,3.09,US,1690040815
208,huanggang,23.677,116.9996,28.94,91,100,0.53,CN,1690041083
209,fonte boa,-2.4959,-66.2662,33.26,37,0,1.73,BR,1690041083
210,rongelap,11.1635,166.8941,28.08,79,97,7.63,MH,1690041083
211,horta,38.5333,-28.6333,23.8,83,40,2.06,PT,1690041084
212,bhimunipatnam,17.8833,83.4333,25.73,86,100,4.54,IN,1690041084
213,sainte-rose,16.3324,-61.6979,31.02,66,75,5.66,GP,1690041084
214,carloforte,39.145,8.3058,28.04,69,74,5.8,IT,1690041084
215,kourou,5.1552,-52.6478,31.03,69,19,4.0,GF,1690041084
216,iqaluit,63.7506,-68.5145,5.85,100,75,3.09,CA,1690041085
217,keflavik,64.0049,-22.5624,13.24,71,75,2.57,IS,1690041085
218,freetown,8.484,-13.2299,27.84,74,75,3.6,SL,1690041085
219,pizarro,4.9533,-77.366,28.61,79,98,1.56,CO,1690041085
220,ceerigaabo,10.6162,47.368,20.18,60,35,11.32,SO,1690041085
221,port alfred,-33.5906,26.891,16.77,77,100,0.45,ZA,1690041085
222,bargaal,11.2864,51.0773,33.11,44,97,12.07,SO,1690041086
223,nouadhibou,20.931,-17.0347,25.99,61,1,11.32,MR,1690041086
224,amungan,15.3652,119.9582,26.42,87,100,1.11,PH,1690041086
225,gadzhiyevo,69.2551,33.3362,9.73,82,97,7.65,RU,1690041086
226,klyuchi,52.2667,79.1667,19.04,63,52,1.62,RU,1690041086
227,castillos,-34.1667,-53.8333,24.69,60,100,7.05,UY,1690041086
228,hutchinson island south,27.2995,-80.2205,34.45,63,75,6.17,US,1690041087
229,kodiak,57.79,-152.4072,7.73,100,100,0.0,US,1690041087
230,papao,-17.75,-149.55,22.59,70,65,5.15,PF,1690041087
